SA2_NAME16,Population
Kellyville Ridge - The Ponds,21260
Marsden Park - Shanes Park,19868
Riverstone,15501
Schofields (West) - Colebee,11452
Schofields - East,29678
Stanhope Gardens - Parklea,13083
Bidwill - Hebersham - Emerton,18536
Glendenning - Dean Park,8392
Hassall Grove - Plumpton,21332
Lethbridge Park - Tregear,21916
Mount Druitt - Whalan,23208
Prospect Reservoir,16
Rooty Hill - Minchinbury,22832
Banksmeadow,594
Botany,13254
Pagewood - Hillsdale - Daceyville,15398
Port Botany Industrial,9
Sydney Airport,23
Eastlakes,8823
Mascot,22778
Petersham - Stanmore,19992
Sydenham - Tempe - St Peters,8395
Marrickville - North,12327
Marrickville - South,14188
Darlinghurst,10617
Erskineville - Alexandria,19970
Glebe - Forest Lodge,20628
Potts Point - Woolloomooloo,18256
Surry Hills,15952
Camperdown - Darlington,8452
Chippendale,8237
Newtown (NSW),14853
Pyrmont,12965
Redfern,14098
Rosebery - Beaconsfield,12914
Sydney (North) - Millers Point,8181
Sydney (South) - Haymarket,21048
Ultimo,7801
Waterloo,17010
Zetland,13349
Bondi - Tamarama - Bronte,19258
Bondi Beach - North Bondi,21095
Bondi Junction - Waverly,17852
Centennial Park,0
Dover Heights,11119
Paddington - Moore Park,14820
Rose Bay - Vaucluse - Watsons Bay,11847
Woollahra,7476
Bellevue Hill,14435
Double Bay - Darling Point,9987
Kensington (NSW),12301
Kingsford,14146
Maroubra - North,9984
Maroubra - South,11174
Maroubra - West,10011
Randwick - North,16173
Randwick - South,12789
Coogee - Clovelly,19426
Malabar - La Perouse,10611
Matraville - Chifley,13427
South Coogee,5635
Bass Hill - Georges Hall,24029
Chullora,1450
Condell Park,12892
Padstow,17079
Revesby,17903
Yagoona - Birrong,22623
Bankstown - North,17153
Bankstown - South,18593
Greenacre - North,14741
Greenacre - South,13302
Panania (North) - Milperra,11350
Panania (South) - Picnic Point,16058
Belmore - Belfield,20501
Punchbowl,21526
Roselands,14646
Lakemba,16891
Wiley Park,10066
Campsie - North,11809
Campsie - South,8997
Canterbury - South,12529
Earlwood,17901
Kingsgrove - North,6228
Narwee - Beverly Hills,13677
Oatley - Hurstville Grove,12515
Peakhurst - Lugarno,20322
Riverwood,11562
South Hurstville - Blakehurst,25611
Hurstville - Central,12373
Hurstville - North,11971
Mortdale - Oatley,14779
Penshurst,9508
Kingsgrove (South) - Bardwell Park,12929
Kogarah,13466
Kogarah Bay - Carlton - Allawah,16361
Monterey - Brighton-le-Sands - Kyeemagh,13648
Rockdale - Banksia,20212
Sans Souci - Ramsgate,16516
Arncliffe - Bardwell Valley,16751
Bexley - North,10000
Bexley - South,15715
Wolli Creek,11408
Concord - Mortlake - Cabarita,23170
